WARN  2019-04-17 22:09:10,783 [72   ] calization.RequestLocalizationMiddleware - AbpDefaultRequestCultureProvider returned the following unsupported cultures 'null'.
INFO  2019-04-17 22:09:10,785 [55   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method GSoft.AbpZeroTemplate.Authorization.Users.UserLinkAppService.GetRecentlyUsedLinkedUsers (GSoft.AbpZeroTemplate.Application), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 13.4411ms.
INFO  2019-04-17 22:09:10,798 [5    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method GSoft.AbpZeroTemplate.Notifications.NotificationAppService.GetUserNotifications (GSoft.AbpZeroTemplate.Application), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 23.059ms.
INFO  2019-04-17 22:09:10,849 [73   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:5000/api/services/app/Profile/GetProfilePicture application/json 
INFO  2019-04-17 22:09:11,445 [51   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 OPTIONS http://localhost:5000/api/ThongTinXe/GetThongTinXeByFilter?ThongTinXeId=&MaxResultCount=10&SkipCount=0  
INFO  2019-04-17 22:09:12,405 [73   ] pNetCore.Cors.Infrastructure.CorsService - Policy execution successful.
INFO  2019-04-17 22:09:11,445 [53   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:5000/api/services/app/Chat/GetUserChatFriendsWithSettings application/json 
INFO  2019-04-17 22:09:11,456 [70   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 POST http://localhost:5000/signalr/negotiate?enc_auth_token=wNYmO41%2F48SHNstaLVXxHCCre29BZQl1NhC6NM3R3rzpXtPQxVzH6jEzA%2FQhXFN5tu6Fk7pO53uppm1mVXMZgxbyRVz26dnepi%2FFyB6axBY%2B6gq1GL%2BuRQgoiFUCjRN2p8w6LevViwKlHyWZZJZO1DGVSjAi1m2U%2Bog9pkHw9%2FQR4Nl%2FDPnoP9JYDMpZ1zxx09u6s0GZ9%2FQ5Sjk%2BL0UfcSCbl38X8he5w9UIn%2FHvxh7ysM1CiPLsoOwtbiieSRVmrmt0JjnipAn4%2FK283F8GrGwzwgehWsqefmUnM0ckMwP9ZAdwQxWDhxv0IqNw4tDhwUYs%2F1SYdYozdNzgByhgNOBPzQDObNLlWc4vV5VMOiaBf7kwqd%2FVCFyKnub%2B7yyAKUpcOfUPHzjZOHKwKLFURUDIE9wJv%2FbkRE%2By49UaFZrN3l80ZgdLtCKzoGStJVHu%2Bi2hwrj7TNrvUP0QXdJTkmxvjUGsxN8JX3cUFHtLQnCOzdfA45DViI0CgN2egbQJwG6gv%2B2Bnu8wFmfNHsd7iRJ1U4LTLCh%2FF%2Fq4rk2DtMuwUyndnpRlsHgF7Iz3FubWU4j%2B%2B%2BVXkjAs8XsZyDZUiorU2L1MLkUIE5QeVQWIr4YfNIHkeSYtHIrhIw6%2B6buJ0l8lVMeVz8KbINIBhfLzKdCQMA0FliKrNwwqZMvNzMxeTgW10qn1YJ1AwBSGtkoP8kje%2BT%2BRreyD9fx%2BUD8lea2wQ1r65caBqekPPtqWM85njoCDOC%2FLGHWTgyDGSHNppNSmuBK8mUfZKdzroDBTh%2Fup50sSUfcRK%2B55WkGvy%2F9FuFWKk0D9%2B%2FheBjmtyLu3QcmaOOdDE4toTzggclFDi%2BksYC73h2MuzKOA8Bhtdoa8LdwmS2aiStTOI8m8O5a7 text/plain;charset=UTF-8 0
INFO  2019-04-17 22:09:12,405 [53   ] pNetCore.Cors.Infrastructure.CorsService - Policy execution successful.
INFO  2019-04-17 22:09:12,405 [70   ] pNetCore.Cors.Infrastructure.CorsService - Policy execution successful.
INFO  2019-04-17 22:09:12,406 [55   ] .Mvc.Infrastructure.ObjectResultExecutor - Executing ObjectResult, writing value of type 'Abp.Web.Models.AjaxResponse'.
